year;domestic_aviation_percent;international_aviation_percent
1990;4,142737417;95,85726258
1991;4,077480848;95,92251915
1992;4,040314395;95,9596856
1993;4,020760949;95,97923905
1994;4,012724074;95,98727593
1995;3,825363395;96,1746366
1996;3,764196328;96,23580367
1997;3,795272549;96,20472745
1998;3,811975106;96,18802489
1999;3,851396126;96,14860387
2000;3,798482762;96,20151724
2001;3,493802685;96,50619732
2002;3,860593827;96,13940617
2003;4,105349575;95,89465043
2004;3,578277042;96,42172296
2005;3,276595957;96,72340404
2006;3,366076054;96,63392395
2007;3,259315448;96,74068455
2008;3,12428346;96,87571654
2009;3,419154245;96,58084576
2010;2,987809514;97,01219049
2011;2,745226285;97,25477371
2012;2,556842838;97,44315716
2013;2,62683709;97,37316291
2014;2,446016769;97,55398323
2015;2,276425404;97,7235746
2016;1,987185482;98,01281452
2017;1,84507914;98,15492086
2018;1,781982451;98,21801755
2019;1,556134324;98,44386568
2020;2,166089469;97,83391053
2021;1,899871706;98,10012829
2022;1,477377455;98,52262254
2023;1,136092421;98,86390758
2024;0,886148148;99,11385185
