year;kerosene_consumption_tj;emission_factor_co2_t/tj;emissions_co2_kt
1990;12096,62773;72,78394252;880,4402576
1991;13600,90296;72,78394252;989,927339
1992;14781,63398;72,78394252;1075,865598
1993;15683,03816;72,78394252;1141,473348
1994;16360,1457;72,78394252;1190,755904
1995;18314,51762;72,78394252;1333,002798
1996;20243,91657;72,78394252;1473,43206
1997;21112,09337;72,78394252;1536,62139
1998;21893,83125;72,78394252;1593,519355
1999;21452,1606;72,78394252;1561,372824
2000;23296,03688;72,78394252;1695,577409
2001;22687,37838;72,78394252;1651,276844
2002;21170,13934;72,78394252;1540,846205
2003;19962,82463;72,78394252;1452,973081
2004;23699,32907;72,78394252;1724,930605
2005;26926,72059;72,78394252;1959,832884
2006;28150,19205;72,78394252;2048,88196
2007;29893,88028;72,78394252;2175,794464
2008;29978,69272;72,78394252;2181,967448
2009;26014,03416;72,78394252;1893,403967
2010;28159,3774;72,78394252;2049,550506
2011;29792,79115;72,78394252;2168,436799
2012;28476,82292;72,78394252;2072,655442
2013;27141,17034;72,78394275;1975,441388
2014;27177,30272;72,73356401;1976,702087
2015;29242,90398;72,73356401;2126,940629
2016;31956,69666;72,7482679;2324,79433
2017;30873,07379;72,7482679;2245,962643
2018;34776,94922;72,7482679;2529,962818
2019;40032,37239;72,60992336;2906,747491
2020;14381,25267;72,60992336;1044,221654
2021;16912,85107;72,60992336;1228,04082
2022;27038,86122;72,7482679;1967,03032
2023;36203,3865;72,7482679;2633,73366
2024;40405,11981;72,58064516;2932,629664
