year;fuel_type;consumption_tj;co2_kt
1990;Liquid fuels;368391,0587;27763,40008
1990;Gaseous fuels (6) ;204189,5437;11312,10072
1991;Liquid fuels;400764,371;30238,18041
1991;Gaseous fuels (6) ;215993,1329;11966,01956
1992;Liquid fuels;384311,2718;28970,71633
1992;Gaseous fuels (6) ;212922,9628;11795,93214
1993;Liquid fuels;400837,6521;30376,80753
1993;Gaseous fuels (6) ;224346,7424;12428,80953
1994;Liquid fuels;392019,7763;29719,1112
1994;Gaseous fuels (6) ;231864,1667;12845,27483
1995;Liquid fuels;393873,8349;29861,93549
1995;Gaseous fuels (6) ;253546,1253;14046,45534
1996;Liquid fuels;435071,2902;32603,89898
1996;Gaseous fuels (6) ;270709,8806;14997,32739
1997;Liquid fuels;422819,7501;31703,74846
1997;Gaseous fuels (6) ;260725,1605;14444,17389
1998;Liquid fuels;448532,5626;33680,13576
1998;Gaseous fuels (6) ;268161,173;14856,12898
1999;Liquid fuels;423882,0721;31803,49159
1999;Gaseous fuels (6) ;274902,7047;15229,60984
2000;Liquid fuels;417209,3443;31176,07023
2000;Gaseous fuels (6) ;260207,2655;14415,48251
2001;Liquid fuels;447052,8071;33335,6517
2001;Gaseous fuels (6) ;277439,5186;15370,14933
2002;Liquid fuels;465140,363;34840,45759
2002;Gaseous fuels (6) ;275820,2877;15280,44394
2003;Liquid fuels;502888,1709;37691,51348
2003;Gaseous fuels (6) ;296235,7542;16411,46078
2004;Liquid fuels;502363,325;37667,77801
2004;Gaseous fuels (6) ;303403,8397;16808,57272
2005;Liquid fuels;508596,1777;38066,29905
2005;Gaseous fuels (6) ;322709,1044;17878,08438
2006;Liquid fuels;489269,0457;36576,79933
2006;Gaseous fuels (6) ;300634,3123;16655,1409
2007;Liquid fuels;470495,342;35121,2143
2007;Gaseous fuels (6) ;284263,2833;15748,1859
2008;Liquid fuels;452742,0363;33791,62286
2008;Gaseous fuels (6) ;299798,0354;16608,81116
2009;Liquid fuels;436284,9503;32574,85404
2009;Gaseous fuels (6) ;293863,8314;16280,05626
2010;Liquid fuels;439685,1405;32810,38301
2010;Gaseous fuels (6) ;323897,0074;17943,89421
2011;Liquid fuels;418680,2222;31238,24186
2011;Gaseous fuels (6) ;304661,127;16878,22644
2012;Liquid fuels;408391,3056;30527,69098
2012;Gaseous fuels (6) ;290802,3862;16110,45219
2013;Liquid fuels;420557,7887;31427,92696
2013;Gaseous fuels (6) ;281116,4676;15573,85231
2014;Liquid fuels;404693,8738;30251,82625
2014;Gaseous fuels (6) ;253812,7007;14061,22362
2015;Liquid fuels;411828,5808;30804,25638
2015;Gaseous fuels (6) ;272731,8418;15109,34404
2016;Liquid fuels;423708,7776;31782,11647
2016;Gaseous fuels (6) ;285951,4245;15841,70892
2017;Liquid fuels;431380,9974;32292,51685
2017;Gaseous fuels (6) ;309488,2464;17145,64885
2018;Liquid fuels;426459,9137;31860,11658
2018;Gaseous fuels (6) ;295283,7075;16358,7174
2019;Liquid fuels;427981,4266;31951,49031
2019;Gaseous fuels (6) ;304072,1074;16906,40917
2020;Liquid fuels;383701,5396;28659,49618
2020;Gaseous fuels (6) ;289925,1576;16119,83876
2021;Liquid fuels;401350,3433;29980,01398
2021;Gaseous fuels (6) ;306975,4633;17067,83576
2022;Liquid fuels;381667,0397;28457,76228
2022;Gaseous fuels (6) ;273628,0688;15213,72063
2023;Liquid fuels;364179,6143;27158,92983
2023;Gaseous fuels (6) ;231121,7248;12850,3679
2024;Liquid fuels;347894,9226;25874,93536
2024;Gaseous fuels (6) ;232002,8653;12899,35931
